"","Date","Numero_sample","BIO_SAMPLE_ID","BIO_SAMPLE_ID3","BIO_SAMPLE_ID4","Bio.rep","Time_point_WRONG","Time_point","Time_point2","Culture","all_bio_cat_factor","TREATMENT","TREATMENT2","ORGANISM","ORGANISM2","TREATMENT3","CORRECTION2","Units","Filtered","Metabolites","PEAK_AREA_TIC","Class","PEAK_AREA","PEAK_AREA_TIC_Log","PEAK_AREA_Log"
"48","28.11.23","28","28_B.F","45258_28_B.F_62h_Peat_B.3","45258_28_B.F_62h_Peat_B.3_Coculture_B.F_Bacteria.Fungi_P","B.3","62h","62h",62,"Coculture","Peat.5_B.F_62h_P","Peat.5","Peat","B.F","Bacteria.Fungi","P",0.735189191,"AREA / TIC","IN","Alanine_1Bz",1480274.756,"Amino_Acids",1088282.00032136,6.17034233292194,6.03674144620266
"49","28.11.23","29","29_X.B","45258_29_X.B_24h_Peat_B.3","45258_29_X.B_24h_Peat_B.3_Single_X.B_Media.Bacteria_P","B.3","24h","24h",24,"Single","Peat.4_X.B_24h_P","Peat.4","Peat","X.B","Media.Bacteria","P",1.336864836,"AREA / TIC","IN","Alanine_1Bz",4677534.207,"Amino_Acids",6253231.00052545,6.67001697219707,6.79610447224384
"50","28.11.23","29","29_X.B","45258_29_X.B_62h_Peat_B.3","45258_29_X.B_62h_Peat_B.3_Single_X.B_Media.Bacteria_P","B.3","62h","62h",62,"Single","Peat.4_X.B_62h_P","Peat.4","Peat","X.B","Media.Bacteria","P",0.625333402,"AREA / TIC","IN","Alanine_1Bz",1881246.063,"Amino_Acids",1176406.0005749,6.27444560406394,6.07055723107638
"51","28.11.23","30","30_X.B","45258_30_X.B_24h_Peat_B.3","45258_30_X.B_24h_Peat_B.3_Single_X.B_Media.Bacteria_P","B.3","24h","24h",24,"Single","Peat.5_X.B_24h_P","Peat.5","Peat","X.B","Media.Bacteria","P",0.843631039,"AREA / TIC","IN","Alanine_1Bz",6003185.95,"Amino_Acids",5064474.0003087,6.77838179593095,6.70453434592021
"52","28.11.23","30","30_X.B","45258_30_X.B_62h_Peat_B.3","45258_30_X.B_62h_Peat_B.3_Single_X.B_Media.Bacteria_P","B.3","62h","62h",62,"Single","Peat.5_X.B_62h_P","Peat.5","Peat","X.B","Media.Bacteria","P",0.549353885,"AREA / TIC","IN","Alanine_1Bz",1515298.285,"Amino_Acids",832434.999798587,6.18049813170198,5.92035033187097
"53","28.11.23","31","31_X.F","45258_31_X.F_24h_Peat_B.3","45258_31_X.F_24h_Peat_B.3_Single_X.F_Media.Fungi_P","B.3","24h","24h",24,"Single","Peat.4_X.F_24h_P","Peat.4","Peat","X.F","Media.Fungi","P",4.779067152,"AREA / TIC","OUT","Alanine_1Bz",3067184.146,"Amino_Acids",14658279.0012838,6.48673985071053,7.16608298366659
"54","28.11.23","31","31_X.F","45258_31_X.F_62h_Peat_B.3","45258_31_X.F_62h_Peat_B.3_Single_X.F_Media.Fungi_P","B.3","62h","62h",62,"Single","Peat.4_X.F_62h_P","Peat.4","Peat","X.F","Media.Fungi","P",0.761377687,"AREA / TIC","IN","Alanine_1Bz",2274932.703,"Amino_Acids",1732082.9994908,6.35696855389509,6.23856869908848
"55","28.11.23","32","32_X.F","45258_32_X.F_24h_Peat_B.3","45258_32_X.F_24h_Peat_B.3_Single_X.F_Media.Fungi_P","B.3","24h","24h",24,"Single","Peat.5_X.F_24h_P","Peat.5","Peat","X.F","Media.Fungi","P",4.317283295,"AREA / TIC","OUT","Alanine_1Bz",4088513.492,"Amino_Acids",17651271.0003937,6.61156543525224,7.24677598273142
"56","28.11.23","32","32_X.F","45258_32_X.F_62h_Peat_B.3","45258_32_X.F_62h_Peat_B.3_Single_X.F_Media.Fungi_P","B.3","62h","62h",62,"Single","Peat.5_X.F_62h_P","Peat.5","Peat","X.F","Media.Fungi","P",0.594011356,"AREA / TIC","IN","Alanine_1Bz",1837104.609,"Amino_Acids",1091260.99990594,6.26413388674563,6.0379286344221
"57","28.11.23","33","33_X.BF","45258_33_X.BF_24h_Peat_B.3","45258_33_X.BF_24h_Peat_B.3_Coculture_X.BF_Media.BacteriaFungi_P","B.3","24h","24h",24,"Coculture","Peat.4_X.BF_24h_P","Peat.4","Peat","X.BF","Media.BacteriaFungi","P",1.428476569,"AREA / TIC","IN","Alanine_1Bz",5264467.169,"Amino_Acids",7520167.99918626,6.72135442162345,6.8762275427598
